Index	Name	AttribID	AttackSpeed	MaxLife	FightPower	Miss	HitRate	MinBaseAttack	MaxBaseAttack	WoodDamage	WaterDamage	FireDamage	EarthDamage	WoodResist	WaterResist	FireResist	EarthResist	DeadlyStrike	MetalDamage	MetalResist	SeriesDamageValue
Guanka_Boss_2	boss1	218	15	{1,180*15},{5,350*15},{10,900*15},{20,3500*15},{30,4000*15},{40,7000*15},{50,10000*15},{60,13500*15},{70,20000*15},{80,30000*15},{100,60000*15},{110,75000*15}	0	0	{10,1000},{100,2800},{150,7000}	{1,3},{5,12},{6,18},{7,25},{8,30},{9,50},{10,60},{20,100},{30,150*2},{40,350*2},{41,420*2},{50,600*2}	{1,3},{5,12},{6,18},{7,25},{8,30},{9,50},{10,60},{20,100},{30,150*2},{40,350*2},{41,420*2},{50,600*2}	0	0	0	0	0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}			
Random_fb_key	随机秘境秒杀	300	15	{1,1000},  {10,1000}	0	0	{10,1000},{100,2800},{150,7000}	{10,5},{20,120*1.5},{30,250*1.5},{40,400*1.5},{50,600*1.5}	{10,5},{20,120*1.5},{30,250*1.5},{40,400*1.5},{50,600*1.5}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
Random_fb_normal	随机秘境普通	301	15	{20,10000*1.2},{30,12000*1.2},{40,30000*1.2},{50,60000*1.2}	0	0	{10,1000},{100,2800},{150,7000}	{10,5},{20,120*1.2},    {30,250*1.2},    {40,400*1.2},    {50,500*1.2}	{10,5},{20,120*1.2},    {30,250*1.2},    {40,400*1.2},    {50,500*1.2}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
Random_fb_tiny	随机秘境弱	302	15	{20,10000*0.5},{30,12000*0.5},{40,30000*0.5},{50,60000*0.5}	0	0	{10,1000},{100,2800},{150,7000}	{10,5},{20,120},    {30,250},    {40,400},    {50,600}	{10,5},{20,120},    {30,250},    {40,400},    {50,600}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
Random_fb_elite	随机秘境精英	303	15	{20,10000*2},  {30,12000*2},  {40,30000*2},  {50,60000*2}	0	0	{10,1000},{100,2800},{150,7000}	{10,5},{20,120*1.5},{30,250*1.5},{40,400*1.5},{50,600*1.5}	{10,5},{20,120*1.5},{30,250*1.5},{40,400*1.5},{50,600*1.5}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
Random_fb_captain	随机秘境首领	304	15	{20,10000*15}, {30,12000*15}, {40,30000*15}, {50,60000*15}	0	0	{10,1000},{100,2800},{150,7000}	{10,5},{20,120*2},  {30,250*2},  {40,400*2},  {50,600*2}	{10,5},{20,120*2},  {30,250*2},  {40,400*2},  {50,600*2}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
Random_fb_boss1	随机秘境BOSS（5层）	305	15	{20,10000*40}, {30,12000*40}, {40,30000*40}, {50,60000*40}	0	0	{10,1000},{100,2800},{150,7000}	{10,5},{20,120*5.5},  {30,250*5.5},  {40,400*5.5},  {50,600*5.5}	{10,5},{20,120*5.5},  {30,250*5.5},  {40,400*5.5},  {50,600*5.5}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
Random_fb_boss2	随机秘境BOSS（4层）	306	15	{20,10000*25}, {30,12000*25}, {40,30000*25}, {50,60000*25}	0	0	{10,1000},{100,2800},{150,7000}	{10,5},{20,120*3},  {30,250*3},  {40,400*3},  {50,600*3}	{10,5},{20,120*3},  {30,250*3},  {40,400*3},  {50,600*3}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
Random_fb_boss3	随机秘境BOSS（3层）	307	15	{20,10000*20}, {30,12000*20}, {40,30000*20}, {50,60000*20}	0	0	{10,1000},{100,2800},{150,7000}	{10,5},{20,120*3},  {30,250*3},  {40,400*3},  {50,600*3}	{10,5},{20,120*3},  {30,250*3},  {40,400*3},  {50,600*3}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
Random_fb_boss4	随机秘境BOSS（2层）	308	15	{20,10000*15}, {30,12000*15}, {40,30000*15}, {50,60000*15}	0	0	{10,1000},{100,2800},{150,7000}	{10,5},{20,120*3},  {30,250*3},  {40,400*3},  {50,600*3}	{10,5},{20,120*3},  {30,250*3},  {40,400*3},  {50,600*3}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
LJF_enemy_1	小怪	311	15	{20,3000},{30,4000},{40,5000},{50,10000},{60,15000},{70,25000},{80,35000},{90,55000},{100,60000},{110,75000},{120,95000}	0		{10,1000},{100,2800},{150,7000}	{20,120*1.2},    {30,250*1.2},    {40,400*1.2},    {50,650*1.2},  {60,1100*1.2},  {70,1600*1.2},  {100,2000*1.2},  {110,2500*1.2}	{20,120*1.2},    {30,250*1.2},    {40,400*1.2},    {50,650*1.2},  {60,1100*1.2},  {70,1600*1.2},  {100,2000*1.2},  {110,2500*1.2}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
LJF_enemy_2	怪物1	312	15	{20,3000*2.5},{30,4000*2.5},{40,5000*2.5},{50,10000*2.5},{60,15000*2.5},{70,25000*2.5},{80,35000*2.5},{90,55000*2.5},{100,60000*2.5},{110,75000*2.5},{120,95000*2.5}	0		{10,1000},{100,2800},{150,7000}	{20,120*1.2},    {30,250*1.2},    {40,400*1.2},    {50,650*1.2},  {60,1100*1.2},  {70,1600*1.2},  {100,2000*1.2},  {110,2500*1.2}	{20,120*1.2},    {30,250*1.2},    {40,400*1.2},    {50,650*1.2},  {60,1100*1.2},  {70,1600*1.2},  {100,2000*1.2},  {110,2500*1.2}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
LJF_enemy_3	怪物2	313	15	{20,3000*4},{30,4000*4},{40,5000*4},{50,10000*4},{60,15000*4},{70,25000*4},{80,35000*4},{90,55000*4},{100,60000*4},{110,75000*4},{120,95000*4}	0		{10,1000},{100,2800},{150,7000}	{20,120*1.2},    {30,250*1.2},    {40,400*1.2},    {50,650*1.2},  {60,1100*1.2},  {70,1600*1.2},  {100,2000*1.2},  {110,2500*1.2}	{20,120*1.2},    {30,250*1.2},    {40,400*1.2},    {50,650*1.2},  {60,1100*1.2},  {70,1600*1.2},  {100,2000*1.2},  {110,2500*1.2}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
LJF_enemy_4	怪物3	314	15	{20,3000*7},{30,4000*7},{40,5000*7},{50,10000*7},{60,15000*7},{70,25000*7},{80,35000*7},{90,55000*7},{100,60000*7},{110,75000*7},{120,95000*7}	0		{10,1000},{100,2800},{150,7000}	{20,120*1.2},    {30,250*1.2},    {40,400*1.2},    {50,650*1.2},  {60,1100*1.2},  {70,1600*1.2},  {100,2000*1.2},  {110,2500*1.2}	{20,120*1.2},    {30,250*1.2},    {40,400*1.2},    {50,650*1.2},  {60,1100*1.2},  {70,1600*1.2},  {100,2000*1.2},  {110,2500*1.2}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
LJF_elite_1	精英1	321	15	{20,3000*10},{30,4000*10},{40,5000*10},{50,10000*10},{60,15000*10},{70,25000*10},{80,35000*10},{90,55000*10},{100,60000*10},{110,75000*10},{120,95000*10}	0		{10,1000},{100,2800},{150,7000}	{20,120*1.5},    {30,250*1.5},    {40,400*1.5},    {50,650*2},    {60,1100*2},    {70,1600*2},    {100,2000*2},    {110,2500*2}	{20,120*1.5},    {30,250*1.5},    {40,400*1.5},    {50,650*2},    {60,1100*2},    {70,1600*2},    {100,2000*2},    {110,2500*2}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
LJF_elite_2	精英2	322	15	{20,3000*16},{30,4000*16},{40,5000*16},{50,10000*16},{60,15000*16},{70,25000*16},{80,35000*16},{90,55000*16},{100,60000*16},{110,75000*16},{120,95000*16}	0		{10,1000},{100,2800},{150,7000}	{20,120*1.5},    {30,250*1.5},    {40,400*1.5},    {50,650*2},    {60,1100*2},    {70,1600*2},    {100,2000*2},    {110,2500*2}	{20,120*1.5},    {30,250*1.5},    {40,400*1.5},    {50,650*2},    {60,1100*2},    {70,1600*2},    {100,2000*2},    {110,2500*2}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
LJF_elite_3	精英3	323	15	{20,3000*26},{30,4000*26},{40,5000*26},{50,10000*26},{60,15000*26},{70,25000*26},{80,35000*26},{90,55000*26},{100,60000*26},{110,75000*26},{120,95000*26}	0		{10,1000},{100,2800},{150,7000}	{20,120*1.5},    {30,250*1.5},    {40,400*1.5},    {50,650*2},    {60,1100*2},    {70,1600*2},    {100,2000*2},    {110,2500*2}	{20,120*1.5},    {30,250*1.5},    {40,400*1.5},    {50,650*2},    {60,1100*2},    {70,1600*2},    {100,2000*2},    {110,2500*2}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
LJF_captain_1	首领1	331	15	{20,3000*33},{30,4000*33},{40,5000*33},{50,10000*33},{60,15000*33},{70,25000*33},{80,35000*33},{90,55000*33},{100,60000*33},{110,75000*33},{120,95000*33}	0		{10,1000},{100,2800},{150,7000}	{20,120*2},      {30,250*2},      {40,400*2},      {50,650*3},    {60,1100*3},    {70,1600*3},    {100,2000*3},    {110,2500*3}	{20,120*2},      {30,250*2},      {40,400*2},      {50,650*3},    {60,1100*3},    {70,1600*3},    {100,2000*3},    {110,2500*3}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
LJF_captain_2	首领2	332	15	{20,3000*50},{30,4000*50},{40,5000*50},{50,10000*50},{60,15000*50},{70,25000*50},{80,35000*50},{90,55000*50},{100,60000*50},{110,75000*50},{120,95000*50}	0		{10,1000},{100,2800},{150,7000}	{20,120*2},      {30,250*2},      {40,400*2},      {50,650*3},    {60,1100*3},    {70,1600*3},    {100,2000*3},    {110,2500*3}	{20,120*2},      {30,250*2},      {40,400*2},      {50,650*3},    {60,1100*3},    {70,1600*3},    {100,2000*3},    {110,2500*3}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
LJF_boss_1	boss1	341	15	{20,3000*70},{30,4000*70},{40,5000*70},{50,10000*70},{60,15000*70},{70,25000*70},{80,35000*70},{90,55000*70},{100,60000*70},{110,75000*70},{120,95000*70}	0		{10,1000},{100,2800},{150,7000}	{20,120*3.5},    {30,250*3.5},    {40,400*4},      {50,650*4},    {60,1100*4},    {70,1600*4},    {100,2000*4},    {110,2500*4}	{20,120*3.5},    {30,250*3.5},    {40,400*4},      {50,650*4},    {60,1100*4},    {70,1600*4},    {100,2000*4},    {110,2500*4}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
LJF_boss_2	boss2	342	15	{20,3000*100},{30,4000*100},{40,5000*100},{50,10000*100},{60,15000*100},{70,25000*100},{80,35000*100},{90,55000*100},{100,60000*100},{110,75000*100},{120,95000*100}	0		{10,1000},{100,2800},{150,7000}	{20,120*4},      {30,250*4},      {40,400*4},      {50,650*4.5},  {60,1100*4.5},  {70,1600*4.5},  {100,2000*4.5},  {110,2500*4.5}	{20,120*4},      {30,250*4},      {40,400*4},      {50,650*4.5},  {60,1100*4.5},  {70,1600*4.5},  {100,2000*4.5},  {110,2500*4.5}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
LJF_boss_3	boss3	343	15	{20,3000*200},{30,4000*200},{40,5000*200},{50,10000*200},{60,15000*200},{70,25000*200},{80,35000*200},{90,55000*200},{100,60000*200},{110,75000*200},{120,95000*200}	0		{10,1000},{100,2800},{150,7000}	{20,120*5},      {30,250*5},      {40,400*5},      {50,650*5},    {60,1100*5},    {70,1600*5},    {100,2000*5},    {110,2500*5}	{20,120*5},      {30,250*5},      {40,400*5},      {50,650*5},    {60,1100*5},    {70,1600*5},    {100,2000*5},    {110,2500*5}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
LJF_boss_4	boss4	344	15	{20,3000*240},{30,4000*240},{40,5000*240},{50,10000*240},{60,15000*240},{70,25000*240},{80,35000*240},{90,55000*240},{100,60000*240},{110,75000*240},{120,95000*240}	0		{10,1000},{100,2800},{150,7000}	{20,120*5.5},    {30,250*5.5},    {40,400*5.5},    {50,650*5.5},  {60,1100*5.5},  {70,1600*5.5},  {100,2000*5.5},  {110,2500*5.5}	{20,120*5.5},    {30,250*5.5},    {40,400*5.5},    {50,650*5.5},  {60,1100*5.5},  {70,1600*5.5},  {100,2000*5.5},  {110,2500*5.5}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
LJF_Fantan	凌绝峰反弹怪	345	15	{1,3000},  {10,3000}	0		{10,1000},{100,2800},{150,7000}	{20,120*1.2},    {30,250*1.2},    {40,400*1.2},    {50,500*1.2},  {60,1100*1.2},  {70,1600*1.2},  {100,2000*1.2},  {110,2500*1.2}	{20,120*1.2},    {30,250*1.2},    {40,400*1.2},    {50,500*1.2},  {60,1100*1.2},  {70,1600*1.2},  {100,2000*1.2},  {110,2500*1.2}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
Team_fb_nuche	组队秘境(弩车)	400	15	{1,3000},{40,3000}	0	0	{10,1000},{100,2800},{150,7000}	{10,5},    {20,100},    {30,300},    {40,500},    {50,600},    {60,900},    {70,1400},    {100,1800},    {110,2200}	{10,5},    {20,100},    {30,300},    {40,500},    {50,600},    {60,900},    {70,1400},    {100,1800},    {110,2200}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
Team_fb_normal	组队秘境普通	401	15	{1,220},    {20,8000},    {40,30000},    {50,40000},     {60,55000},    {70,75000},    {80,120000},    {90,160000},    {100,200000},    {110,250000},    {120,350000}	0	0	{10,1000},{100,2800},{150,7000}	{10,5},    {20,100},    {30,300},    {40,500},    {50,600},    {60,900},    {70,1400},    {100,1800},    {110,2200}	{10,5},    {20,100},    {30,300},    {40,500},    {50,600},    {60,900},    {70,1400},    {100,1800},    {110,2200}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
Team_fb_tiny	组队秘境弱	402	15	{1,220*0.5},{20,8000*0.5},{40,30000*0.5},{50,40000*0.5}, {60,55000*0.5},{70,75000*0.5},    {80,120000*0.5},    {90,160000*0.5},    {100,200000*0.5},    {110,250000*0.5},    {120,350000*0.5}	0	0	{10,1000},{100,2800},{150,7000}	{10,5*0.5},{20,100*0.5},{30,300*0.5},{40,500*0.5},{50,600*0.5},{60,900*0.5},{70,1400*0.5},{100,1800*0.5},{110,2200*0.5}	{10,5*0.5},{20,100*0.5},{30,300*0.5},{40,500*0.5},{50,600*0.5},{60,900*0.5},{70,1400*0.5},{100,1800*0.5},{110,2200*0.5}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
Team_fb_elite	组队秘境精英	403	15	{1,220*2},  {20,8000*2},  {40,30000*2},  {50,40000*2},   {60,55000*2},  {70,75000*2},    {80,120000*2},    {90,160000*2},    {100,200000*2},    {110,250000*2},    {120,350000*2}	0	0	{10,1000},{100,2800},{150,7000}	{10,5},    {20,100},    {30,300},    {40,500},    {50,600},    {60,900},    {70,1400},    {100,1800},    {110,2200}	{10,5},    {20,100},    {30,300},    {40,500},    {50,600},    {60,900},    {70,1400},    {100,1800},    {110,2200}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
Team_fb_captain	组队秘境首领	404	15	{1,220*10}, {20,8000*10}, {40,30000*10}, {50,40000*10},  {60,55000*10}, {70,75000*10},    {80,120000*10},    {90,160000*10},    {100,200000*10},    {110,250000*10},    {120,350000*10}	0	0	{10,1000},{100,2800},{150,7000}	{10,5*1.5},{20,100*1.5},{30,300*2},{40,500*2},{50,600*1.5},    {60,900*1.5},    {70,1400*1.5},    {100,1800*1.5},    {110,2200*1.5}	{10,5*1.5},{20,100*1.5},{30,300*2},{40,500*2},{50,600*1.5},    {60,900*1.5},    {70,1400*1.5},    {100,1800*1.5},    {110,2200*1.5}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
Team_fb_boss	组队秘境BOSS	405	15	{1,220*20}, {20,8000*20}, {40,30000*20}, {50,40000*20},  {60,55000*20}, {70,75000*20},    {80,120000*20},    {90,160000*20},    {100,200000*20},    {110,250000*20},    {120,350000*20}	0	0	{10,1000},{100,2800},{150,7000}	{10,5*2.5},{20,100*2.5},{30,300*3},{40,500*3},{50,600*2.5},    {60,900*2.5},    {70,1400*2.5},    {100,1800*2.5},    {110,2200*2.5}	{10,5*2.5},{20,100*2.5},{30,300*3},{40,500*3},{50,600*2.5},    {60,900*2.5},    {70,1400*2.5},    {100,1800*2.5},    {110,2200*2.5}	0	0	0	0	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{10,100},{30,150},{40,200},{50,250},{60,300},{70,350},{80,400},{110,800},{120,1000}	{1,50},{10,100},{50,150},{70,200},{110,800}			
