Name	Type	SaveId	TakeLimit	BeginDay	EndDay	MinLevel	MaxLevel	MailTxt	Award1	Award2	Award3	Award4	Award5	Award6	Award7	Award8	Award9	Award10	Desc
VNGFanpageLv2	VNGFanpageLv2		15000	2016/11/10	2016/11/12			    尊敬的俠士，恭喜你成功領取了禮包！	item|785|3	item|786|3	item|212|3	Gold|50							同一批禮包序號，同角色不可重複兌換,每組序號限領三次
VNGFanpageLv3	VNGFanpageLv3		10000	2016/11/10	2016/11/12			    尊敬的俠士，恭喜你成功領取了禮包！	item|1927|10	item|1929|2	item|212|10	Gold|100	Coin|12888						同一批禮包序號，同角色不可重複兌換,每組序號限領三次
efun週年慶大R獎勵每日登入送祝福	HKRichLogin		510	2016/10/1	2017/12/31			    尊敬的俠士，恭喜你成功領取了禮包！	item|223|2	item|2168|1	Contrib|1000								同一批禮包序號，同角色不可重複兌換,每組序號限領一次
efun平臺大R完善資料獎勵禮包	HKRichData		510	2016/10/1	2017/12/31			    尊敬的俠士，恭喜你成功領取了禮包！	item|1968|10	item|1969|5	item|2168|1	Contrib|2000							同一批禮包序號，同角色不可重複兌換,每組序號限領一次
新馬新手禮包	XMNewPackage		20000	2016/10/8	2020/10/8			    尊敬的俠士，恭喜你成功領取了禮包！	item|2301|1	item|786|5	Coin|5000	item|1234|2	item|1235|2	item|1412|1					同一批禮包序號，同角色不可重複兌換,每組序號限領一次
新馬族長獎勵	XMPatriarch		1000	2016/10/8	2020/10/8			    尊敬的俠士，恭喜你成功領取了禮包！	Gold|50	item|2167|1	item|787|5								同一批禮包序號，同角色不可重複兌換,每組序號限領一次
新馬副族長獎勵	XMAssistant		2000	2016/10/8	2020/10/8			    尊敬的俠士，恭喜你成功領取了禮包！	item|2167|1	item|787|5									同一批禮包序號，同角色不可重複兌換,每組序號限領一次
新馬幫派10人獎勵	XMFamilyNum10		10000	2016/10/8	2020/10/8			    尊敬的俠士，恭喜你成功領取了禮包！	item|1016|2	item|1234|2									同一批禮包序號，同角色不可重複兌換,每組序號限領一次
新馬幫派20人獎勵	XMFamilyNum20		10000	2016/10/8	2020/10/8			    尊敬的俠士，恭喜你成功領取了禮包！	item|1927|5	item|212|5									同一批禮包序號，同角色不可重複兌換,每組序號限領一次
新馬幫派30人獎勵	XMFamilyNum30		10000	2016/10/8	2020/10/8			    尊敬的俠士，恭喜你成功領取了禮包！	item|786|5	item|785|5									同一批禮包序號，同角色不可重複兌換,每組序號限領一次
新馬幫派網紅禮包	XMWebCelebrity		30	2016/10/8	2016/10/26			    尊敬的俠士，恭喜你成功領取了禮包！	item|1413|1	item|786|2	item|787|2	item|1234|2	item|1235|2						同一批禮包序號，同角色不可重複兌換,每組序號限領一次
港澳管道禮包B	HKChannleB							    尊敬的俠士，恭喜你成功領取了禮包！	Gold|200	item|222|5	item|786|5								同一批禮包序號，同角色可重複兌換。每組序號限領一次。
優惠禮包	HKCutOff							    尊敬的俠士，恭喜你成功領取了禮包！	item|786|5	item|222|3									每個角色只能兌換一次
限時禮包a	HKLimitA							    尊敬的俠士，恭喜你成功領取了禮包！	item|2167|2	item|786|5	Contrib|500								每個角色只能兌換一次
限時禮包b	HKLimitB							    尊敬的俠士，恭喜你成功領取了禮包！	item|2761|2	item|222|10	Contrib|500								每個角色只能兌換一次
幫派line群活動獎勵A	HKKinActA							    尊敬的俠士，恭喜你成功領取了禮包！	Contrib|500	item|212|10	item|1235|10	item|1234|10							通碼、每個角色僅能使用一次、禮包內通碼互斥
幫派line群活動獎勵B	HKKinActB							    尊敬的俠士，恭喜你成功領取了禮包！	Contrib|400	item|2301|1	item|1235|10	item|1234|10							通碼、每個角色僅能使用一次、禮包內通碼互斥
幫派line群活動獎勵C	HKKinActC							    尊敬的俠士，恭喜你成功領取了禮包！	Contrib|300	item|2761|1	item|1235|10	item|1234|10							通碼、每個角色僅能使用一次、禮包內通碼互斥
幫派line群活動獎勵D	HKKinActD							    尊敬的俠士，恭喜你成功領取了禮包！	Contrib|250	item|786|2	item|1235|5	item|1234|5							通碼、每個角色僅能使用一次、禮包內通碼互斥
幫派line群活動獎勵E	HKKinActE							    尊敬的俠士，恭喜你成功領取了禮包！	Contrib|200	item|786|1	item|1235|5	item|1234|5							通碼、每個角色僅能使用一次、禮包內通碼互斥
新馬FB點贊禮包	XMFBLike							    尊敬的俠士，恭喜你成功領取了禮包！	item|222|5	item|786|5	Coin|10000								每個角色只能兌換一次
萊爾富儲值禮包A	HKRechargeA		8000	2016/11/8	2017/7/1			    尊敬的俠士，恭喜你成功領取了禮包！	Gold|200	item|786|5	item|785|5								一個角色可重複兌換
劍俠情緣大禮包1	HKJXQY1		5000	2016/11/8	2017/7/1			    尊敬的俠士，恭喜你成功領取了禮包！	item|785|5	item|212|10	item|2760|1								一個角色只能兌換一次
劍俠情緣大禮包2	HKJXQY2		5000	2016/11/8	2017/7/1			    尊敬的俠士，恭喜你成功領取了禮包！	item|787|10	item|786|5	Contrib|200								一個角色只能兌換一次
劍俠情緣VIP大禮包	HKJXQYVIP		5000	2016/11/8	2017/7/1			    尊敬的俠士，恭喜你成功領取了禮包！	item|2167|1	item|2761|1	item|212|20								一個角色只能兌換一次
迴歸禮包	HKReturn		12000	2016/11/8	2017/6/30			    尊敬的俠士，恭喜你成功領取了禮包！	item|222|20	item|2682|1									一個角色只能兌換一次
義氣大禮包	HKBrotherhood		15000	2016/12/5	2017/6/30			    尊敬的俠士，恭喜你成功領取了禮包！	item|2167|1	item|212|15	item|786|5								一個角色只能兌換一次
历程回归礼包	HKProcessReturn		610	2016/12/13	2017/12/31			    尊敬的俠士，恭喜你成功領取了禮包！	item|2168|1	Contrib|1000	item|786|5								一個角色只能兌換一次
電玩禮包	HKVideoGame		10010	2016/12/22	2017/4/1			    尊敬的俠士，恭喜你成功領取了禮包！	Contrib|100	item|212|5	item|787|5								一個角色只能兌換一次
7-11儲值禮包	HKRecharge711		5010	2017/1/6	2017/7/31			    尊敬的俠士，恭喜你成功領取了禮包！	Gold|200	item|3526|1	item|222|2								一個角色只能兌換一次
全家儲值禮包	HKRechargeFamily		5010	2017/1/6	2017/7/31			    尊敬的俠士，恭喜你成功領取了禮包！	Gold|200	item|785|5	item|222|5								一個角色只能兌換一次
萊爾富儲值禮包2	HKRechargeRich		5010	2017/1/6	2017/7/31			    尊敬的俠士，恭喜你成功領取了禮包！	Gold|200	item|786|5	item|222|5								一個角色只能兌換一次
ok儲值禮包	HKRechargeOK		5010	2017/1/6	2017/7/31			    尊敬的俠士，恭喜你成功領取了禮包！	Gold|100	item|2168|1	Contrib|500								一個角色只能兌換一次
捷遊機儲值禮包	HKRechargeJieyou		5010	2017/1/6	2017/7/31			    尊敬的俠士，恭喜你成功領取了禮包！	Gold|200	item|786|8	item|785|8								一個角色只能兌換一次
gash點卡禮包	HKGashGiftBag		511	2017/6/23	2017/7/31			    尊敬的俠士，恭喜你成功領取了禮包！	item|222|2	item|1968|2									每個角色可以使用多次
回歸大禮包	HKReturnGiftBag1		8001	2017/6/23	2017/7/31			    尊敬的俠士，恭喜你成功領取了禮包！	item|3531|1	item|2163|1	Coin|10000								一個角色只能兌換一次
資料片大禮包	HKExpansionPack1		4501	2017/6/23	2017/7/31			    尊敬的俠士，恭喜你成功領取了禮包！	item|2158|1	item|1969|2	Contrib|1000								一個角色只能兌換一次
FB義氣禮包A	HKYiqiA		61	2017/11/29	2018/3/31			    尊敬的俠士，恭喜你成功領取了禮包！	item|1234|5	item|1235|5									一個角色只能兌換一次
FB義氣禮包B	HKYiqiB		61	2017/11/29	2018/3/31			    尊敬的俠士，恭喜你成功領取了禮包！	item|785|5	item|1927|100									一個角色只能兌換一次
FB義氣禮包C	HKYiqiC		61	2017/11/29	2018/3/31			    尊敬的俠士，恭喜你成功領取了禮包！	item|3013|2										一個角色只能兌換一次
FB義氣禮包D	HKYiqiD		61	2017/11/29	2018/3/31			    尊敬的俠士，恭喜你成功領取了禮包！	Contrib|1500										一個角色只能兌換一次
FB義氣禮包E	HKYiqiE		61	2017/11/29	2018/3/31			    尊敬的俠士，恭喜你成功領取了禮包！	Coin|60000										一個角色只能兌換一次
FB義氣禮包F	HKYiqiF		111	2017/11/29	2018/3/31			    尊敬的俠士，恭喜你成功領取了禮包！	item|1234|10	item|1235|10									一個角色只能兌換一次
FB義氣禮包G	HKYiqiG		111	2017/11/29	2018/3/31			    尊敬的俠士，恭喜你成功領取了禮包！	item|785|10	item|1927|200									一個角色只能兌換一次
FB義氣禮包H	HKYiqiH		111	2017/11/29	2018/3/31			    尊敬的俠士，恭喜你成功領取了禮包！	item|3013|4										一個角色只能兌換一次
FB義氣禮包I	HKYiqiI		111	2017/11/29	2018/3/31			    尊敬的俠士，恭喜你成功領取了禮包！	Contrib|3000										一個角色只能兌換一次
FB義氣禮包J	HKYiqiJ		111	2017/11/29	2018/3/31			    尊敬的俠士，恭喜你成功領取了禮包！	Coin|120000										一個角色只能兌換一次
FB義氣禮包K	HKYiqiK		211	2017/11/29	2018/3/31			    尊敬的俠士，恭喜你成功領取了禮包！	item|788|2										一個角色只能兌換一次
FB義氣禮包L	HKYiqiL		211	2017/11/29	2018/3/31			    尊敬的俠士，恭喜你成功領取了禮包！	item|1969|8										一個角色只能兌換一次
FB義氣禮包M	HKYiqiM		211	2017/11/29	2018/3/31			    尊敬的俠士，恭喜你成功領取了禮包！	item|1968|15										一個角色只能兌換一次
FB義氣禮包N	HKYiqiN		211	2017/11/29	2018/3/31			    尊敬的俠士，恭喜你成功領取了禮包！	item|2301|2										每個角色可以使用多次
FB義氣禮包O	HKYiqiO		211	2017/11/29	2018/3/31			    尊敬的俠士，恭喜你成功領取了禮包！	item|2569|1	Gold|100									每個角色可以使用多次
FB義氣禮包P	HKYiqiP		111	2017/11/29	2018/3/31			    尊敬的俠士，恭喜你成功領取了禮包！	item|2168|2										一個角色只能兌換一次
FB義氣禮包Q	HKYiqiQ		111	2017/11/29	2018/3/31			    尊敬的俠士，恭喜你成功領取了禮包！	item|223|7										一個角色只能兌換一次
FB義氣禮包R	HKYiqiR		111	2017/11/29	2018/3/31			    尊敬的俠士，恭喜你成功領取了禮包！	item|788|5										一個角色只能兌換一次
FB義氣禮包S	HKYiqiS		111	2017/11/29	2018/3/31			    尊敬的俠士，恭喜你成功領取了禮包！	item|2569|3										每個角色可以使用多次
FB義氣禮包T	HKYiqiT		111	2017/11/29	2018/3/31			    尊敬的俠士，恭喜你成功領取了禮包！	Gold|1000										每個角色可以使用多次
香港-客訴安撫禮包	HKpacify		2010	2017/12/13	2020/12/31			    尊敬的俠士，恭喜你成功領取了禮包！	Coin|1000	item|222|2	item|1927|5								同一批禮包序號，同角色可重複兌換,每組序號限領一次
