nTaskId	szTaskIndex	szTaskTitle	szDetailDesc	szTaskDesc	szFinishDesc	szTrackInfo	szFinishTrackInfo	ShowClientNpc	DeleteClientNpc	Require_FinishTask	nAutoNextTaskId	nFinishDialogId	nFinishTaskNpcId	Target_PersonalFuben	bAutoFinish	Target_ExtPoint	nTaskItemId	bShowFinish	nNeedConfirmFinish	szAwardInfo	Target_KillNpc	bKillNpcToAllPlayer	nTaskType	bNotAutoNext	szOnFinishTrack	Target_OnTrap	Target_CollectItem	Target_Achievement	Target_EnterMap	Target_MinLevel	Require_MinLevel	Require_MaxLevel	nAcceptTaskNpcId	nAcceptDialogId	IsFinishGuide	bCanRepeat
69	MainTask1_69	[主]本地一霸	紫軒姑娘必然不會無端不告而辭，聽楊兄說先前曾有惡霸想要強佔紫軒姑娘，說不定與此事有關，先去問個清楚！	找欺負過她的[FFFE0D]惡霸[-]	找欺負過她的[FFFE0D]惡霸[-]	[url=goanddosomething:test, 401, 11000, 3700, autofight, 1]		40	40	68	70				1					Exp|12000	1751|3	1	1	1	[url=dialog:test, 68]											
70	MainTask1_70	[主]惡霸賈少	這些惡霸欺善怕惡，才這麼兩下子就把自己的老大出賣了，正好方便我行事！	教訓[FFFE0D]賈少[-]	教訓[FFFE0D]賈少[-]	[url=npcanddosomething:test, 1009, 401, autofight, 1]		40	40	69	71				1					Exp|68000	1009|1	1	1	1	[url=dialog:test, 69]											
71	MainTask1_71	[主]意外之外	看來這件事真的不是這些惡霸的所為，那紫軒姑娘到底去哪裡了呢？莫非是楊兄失蹤了，她也去尋找楊兄了？	到約定的地方找[FFFE0D]楊影楓[-]	到約定的地方找[FFFE0D]楊影楓[-]	[url=clientnpcbyidx:test, 43]	[url=clientnpcbyidx:test, 43]	43	43	70	72	70			1					Exp|16000			1	1												
72	MainTask1_72	[主]藏劍山莊	不可能！我絕不相信卓大哥是如此心狠手辣之人，既然如此，我就與楊兄一同前往藏劍山莊，上劍氣峰將真相查個水落石出！	與楊影楓一探[FFFE0D]藏劍山莊[-]	與楊影楓一探[FFFE0D]藏劍山莊[-]	[url=gotofuben:test, 2, 2, 1]		44	44	71	73			2|2|1	1			1		Exp|60000			1	1												
73	MainTask1_73	[主]真相大白	紫軒姑娘心中雖有楊兄，然而她畢竟已經是卓……卓非凡最為親密的人了，于情於理，她都不可能離開卓非凡，不知道楊兄會不會因此接受納蘭姑娘，抑或是仍不放棄紫軒姑娘。	還是去勸慰一下[FFFE0D]楊影楓[-]吧	還是去勸慰一下[FFFE0D]楊影楓[-]吧	[url=clientnpcbyidx:test, 43]	[url=clientnpcbyidx:test, 43]	43	43	72	74	71						1	1	Exp|8000;Item|1042|1			1	1												
74	MainTask1_74	[主]收集木枝	卓大…卓非凡如此年紀，就已是江湖少有的劍法大家，唉，若是一心匡扶武林正道，將來武林盟主豈不囊中之物，又何必如此急於一時。貪欲之毒，可見一斑。我在想什麼呢，還是早點找了木柴回去吧。	得先收集一些[FFFE0D]乾燥的木頭[-]	得先收集一些[FFFE0D]乾燥的木頭[-]	[url=npc:testtt,1273,401]		44		73	75				1	1				Exp|16000			1	1	[url=dialog:test, 73]											
75	MainTask1_75	[主]尋找食物	原來當日懸崖上那一劍…就是卓大哥「絕情斷意劍」中的「金剛閃電」嗎？果真是「凌厲如金剛，迅捷若閃電」…我從未想到這一劍竟然會用來對付我…狼子野心，唉，不想了，腹中有些饑餓，去找點吃的吧。	在附近[FFFE0D]找找看有沒有吃的[-]	在附近[FFFE0D]找找看有沒有吃的[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	44		74	76				1	1	74			Exp|12000			1	1	[url=dialog:test, 74]											
76	MainTask1_76	[主]取果果腹	咦，這裡有些野果，正好用於果腹，摘些果子就回去吧！	採集一些[FFFE0D]果子[-]	採集一些[FFFE0D]果子[-]	[url=npc:testtt,1349,401]		44		75	77				1	1				Exp|12000			1	1	[url=dialog:test, 75]											
77	MainTask1_77	[主]生火禦寒	這些木柴應當是足夠了，過了今夜可得找個更合適的安身之所，總不能每日都在外奔波，長此以往體力必然不支，今夜過後回忘憂島吧！	回去[FFFE0D]生火[-]禦寒	回去[FFFE0D]生火[-]禦寒	[url=taskitem:test, $T]	[url=taskitem:test, $T]	44	44	76	78				1	1	76			Exp|16000			1	1												
78	MainTask1_78	[主]迷茫猶豫	竟又是這個紅衣少女……我們還真是有緣，這一次前來追她的人武功比上次的高出許多，雙方似乎在談論些什麼，不過這次她恐怕是逃不掉了，怎麼辦？先回去問問楊兄好了！	詢問[FFFE0D]楊影楓[-]有何打算	詢問[FFFE0D]楊影楓[-]有何打算	[url=clientnpcbyidx:test, 43]	[url=clientnpcbyidx:test, 43]	43|45	43	77	79	77								Exp|16000			1	1												
79	MainTask1_79	[主]重返忘憂	楊兄說得也對，三番兩次相遇畢竟也是緣分，就算這紅衣少女是惡人，也先救下了再說，這一次定要問出究竟是怎麼回事。	啟程[FFFE0D]返回忘憂島[-]	啟程[FFFE0D]返回忘憂島[-]	[url=gotofuben:test, 2, 3, 1]		44|45	44	78	80			2|3|1	1			1		Exp|60000			1	1												
80	MainTask1_80	[主]冤家聚頭	不是冤家不聚頭，這少女竟然是上官飛龍的女兒……楊兄的父親與上官飛龍比武，導致兩人身死，這份仇恨恐怕不是這麼容易就能化解的，這可不好辦了……	詢問[FFFE0D]楊影楓[-]接下來怎麼辦	詢問[FFFE0D]楊影楓[-]接下來怎麼辦	[url=clientnpcbyidx:test, 43]	[url=clientnpcbyidx:test, 43]	43|45|47		79	81	79						1	1	Exp|4000;Item|1082|1			1	1												
81	MainTask1_81	[主]抵抗追兵	看來這些追兵還是不太願意輕易放棄，只能由我出手先行阻攔一番了！	阻攔飛龍堡的[FFFE0D]刺客[-]	阻攔飛龍堡的[FFFE0D]刺客[-]	[url=npcanddosomething:test, 1750, 401, autofight, 1]		43|45|47	43|45|47	80	82				1					Exp|4000	1750|3	1	1	1	[url=dialog:test, 80]											
82	MainTask1_82	[主]前往雁蕩	月姑娘傷勢嚴重，雖然眼下她強撐著，不過明眼人都知道撐不了多久，希望楊兄快些回來吧！	[FFFE0D]前往雁蕩山[-]尋找兩人	[FFFE0D]前往雁蕩山[-]尋找兩人	[url=pos:test,401,12450,2010]	[url=pos:test,401,12450,2010]	45	45	81	83				1					Exp|68000			1	1					402							
83	MainTask1_83	[主]兩代恩怨	不知道楊兄接下來會作何打算，總不能一直這麼僵持下去吧？方才交手的敵人武功頗高，人數又多，還是先看看月姑娘傷勢怎樣吧！	詢問[FFFE0D]月眉兒[-]傷勢如何	詢問[FFFE0D]月眉兒[-]傷勢如何	[url=clientnpcbyidx:test, 49]	[url=clientnpcbyidx:test, 49]	49|52	49|52	82	84	81						1	1	Exp|40000;Item|2399|1			1	1	[url=dialog:test, 6081]											
84	MainTask1_84	[主]暫離險境	看來月姑娘傷勢很重，若是不趁早治療，恐怕會有些麻煩，問問楊兄準備怎麼辦吧！	詢問[FFFE0D]楊影楓[-]打算怎麼辦	詢問[FFFE0D]楊影楓[-]打算怎麼辦	[url=clientnpcbyidx:test, 51]	[url=clientnpcbyidx:test, 51]	50|51	50|51	83	85	82						1	1	Exp|40000;ComposeValue|1|4			1	1												
85	MainTask1_85	[主]暫告段落	眼下只能靜待月姑娘傷勢痊癒，更何況闖蕩江湖已有一些時日，江湖中尚有許多趣事，何不前去看一看？	歷練一番升到[FFFE0D]16[-]級	歷練一番升到[FFFE0D]16[-]級	[url=openwnd:test, CalendarPanel, 1]	[url=openwnd:test, CalendarPanel, 1]	52		84	86				1								1	1						16						
86	MainTask1_86	[主]尋找傷藥	唉，想要尋找一名藥商頗為困難，若是沒有的話，不知道這附近有沒有草藥。	[FFFE0D]到附近[-]尋找有沒有草藥	[FFFE0D]到附近[-]尋找有沒有草藥	[url=taskitem:test, $T]	[url=taskitem:test, $T]	52		85	87				1	1	85	1	1	Exp|16000;Item|1052|1			1	1	[url=dialog:test, 83]											
87	MainTask1_87	[主]敷藥療傷	想不到此處竟然也有村民，也許能夠有意外收穫，問問他是否知道哪裡有傷藥。	詢問[FFFE0D]村民[-]哪有藥賣	詢問[FFFE0D]村民[-]哪有藥賣	[url=npc:testtt,$F,402]	[url=npc:testtt,$F,402]	52	52	86	88	84	1074							Exp|16000			1	1												
88	MainTask1_88	[主]踏破鐵鞋	總算是找到了金創藥，趕緊帶回去給楊兄！	將金創藥帶給[FFFE0D]楊影楓[-]	將金創藥帶給[FFFE0D]楊影楓[-]	[url=clientnpcbyidx:test, 51]	[url=clientnpcbyidx:test, 51]	51	51	87	89	85								Exp|24000			1	1												
89	MainTask1_89	[主]幸不辱命	不知道月姑娘是否會領情，將金創藥帶給她吧！	將金創藥交給[FFFE0D]月眉兒[-]	將金創藥交給[FFFE0D]月眉兒[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	54	54	88	90				1	1	88			Exp|24000			1	1	[url=dialog:test, 86]											
90	MainTask1_90	[主]世外桃源	總算是回到這個世外桃源了，還是忘憂島好，山清水秀，若有朝一日我隱居山林，此處倒是一個不錯的選擇，好久沒見納蘭姑娘了，快去見見她吧！	回忘憂島見見[FFFE0D]納蘭姑娘[-]	回忘憂島見見[FFFE0D]納蘭姑娘[-]	[url=npc:testtt,$F,999]	[url=npc:testtt,$F,999]	66		89	91	87	418							Exp|24000			1	1												
91	MainTask1_91	[主]再見島主	納蘭姑娘還是一如既往的溫柔善良，能看得出來楊兄現在陷入兩難之境，看來紫軒姑娘對楊兄來說真的很重要，先去見見納蘭島主吧。	去見見[FFFE0D]納蘭島主[-]	去見見[FFFE0D]納蘭島主[-]	[url=npc:testtt,$F,999]	[url=npc:testtt,$F,999]	65|66	65|66	90	92	88	954							Exp|24000			1	1												
92	MainTask1_92	[主]心魔幻陣	人在江湖，豈會沒有危險，無憂教的心魔陣，也不是人人都能去的，得此機會，自然是要闖上一闖！	闖過無憂教[FFFE0D]心魔幻陣[-]	闖過無憂教[FFFE0D]心魔幻陣[-]	[url=goanddosomething:test, 999, 6990, 4220, gotofuben, 2, 4, 1]		53|225	53|225	91	93			2|4|1	1			1		Exp|60000			1	1												
93	MainTask1_93	[主]拜謝島主	心魔幻陣果然玄妙異常，實在令人受益匪淺，得向納蘭島主道謝才是！	向[FFFE0D]納蘭島主[-]道謝	向[FFFE0D]納蘭島主[-]道謝	[url=npc:testtt,$F,999]	[url=npc:testtt,$F,999]	228	228	92	94	90	954					1	1	Exp|8000;Item|1102|1			1	1												
94	MainTask1_94	[主]一路相伴	離藏劍山莊之約還有一段日子，雖然著實有些捨不得這醉人的地方，只是闖過心魔陣，有所感悟，理應歷練一番，看來楊兄與我的想法一致，這就去找納蘭姑娘道別吧！	向[FFFE0D]納蘭真[-]道別	向[FFFE0D]納蘭真[-]道別	[url=npc:testtt,$F,999]	[url=npc:testtt,$F,999]			93	95	91	418							Exp|12000			1	1												
95	MainTask1_95	[主]闖陣成功	原來心魔陣是這般樣子，闖過之後方知其中兇險，難怪江湖上那麼多人覬覦這心魔陣，若是能夠據為己有，用以磨練人才，必將成就一番事業！不知道楊兄有什麼收穫！	向[FFFE0D]楊影楓[-]道別	向[FFFE0D]楊影楓[-]道別	[url=npc:testtt,$F,999]	[url=npc:testtt,$F,999]			94	96	92	419					1	1	Exp|12000;ComposeValue|1|9			1	1												
96	MainTask1_96	[主]雁蕩歷練	路途之上少了一人陪伴，竟有些不習慣，要前往藏劍山莊，必將經過雁蕩山，卓……卓非凡罪孽深重，狼子野心，無論如何也要摧毀他的陰謀！這段日子，我就在這附近歷練一番吧！	前往[FFFE0D]雁蕩山[-]	前往[FFFE0D]雁蕩山[-]	[url=pos:test,402,7387,5476]	[url=pos:test,402,7387,5476]			95	97				1					Exp|12000			1	1					402							
97	MainTask1_97	[主]有恩必報	上次路過雁蕩山，李兄幫我，此恩雖小，卻不可不報，去問問他有什麼可以幫忙的！	問問[FFFE0D]李大牛[-]有無難解之事	問問[FFFE0D]李大牛[-]有無難解之事	[url=npc:testtt,$F,402]	[url=npc:testtt,$F,402]			96	98	94	1074							Exp|12000			1	1												
98	MainTask1_98	[主]一試身手	聽聞附近有一夥賊匪，乃是一些雲遊道士，有一些武功，尋常官兵都未必是他們的對手，在此為非作歹，正好讓我去見識見識！	擊敗[FFFE0D]雲遊道士[-]	擊敗[FFFE0D]雲遊道士[-]	[url=npcanddosomething:test, 1752, 402, autofight, 1]				97	99				1					Exp|40000	1752|3	1	1	1												
99	MainTask1_99	[主]準備返程	這些賊匪的武功倒是不錯，只可惜遇見了我，是時候回去告訴大牛這件事了！	[FFFE0D]準備回去[-]找李大牛	[FFFE0D]準備回去[-]找李大牛	[url=taskitem:test, $T]	[url=taskitem:test, $T]			98	100				1	1	98			Exp|12000			1	1	[url=dialog:test, 96]											
100	MainTask1_100	[主]意外驚喜	想不到如今楊兄都已經是山莊的主人了，悲魔山莊，倒是霸氣！也該去見見他了！	[FFFE0D]到附近找找看[-]楊影楓	[FFFE0D]到附近找找看[-]楊影楓	[url=taskitem:test, $T]	[url=taskitem:test, $T]	56	56	99	101				1	1	99			Exp|12000			1	1	[url=dialog:test, 97]											
101	MainTask1_101	[主]共踏征程	哈哈，幸好楊兄沒有改變留下蹤跡的習慣，總算是找到他了！	找[FFFE0D]楊影楓[-]道賀	找[FFFE0D]楊影楓[-]道賀	[url=clientnpcbyidx:test, 55]	[url=clientnpcbyidx:test, 55]	55	55	100	102	98								Exp|12000			1	1												
102	MainTask1_102	[主]再上藏劍	原來是這一路上遇見了不少阻礙，看來月姑娘是不會輕易放下這段仇恨的，只怕日後終有一日兩人會對決，不過當今重中之重，是先解決藏劍山莊的事情！所幸我在此等待，正好與楊兄一同上路。	兩人一同前往[FFFE0D]藏劍山莊[-]	兩人一同前往[FFFE0D]藏劍山莊[-]	[url=goanddosomething:test, 402, 10850, 3560, gotofuben, 2, 5, 1]		56	56	101	103			2|5|1	1			1		Exp|60000			1	1												
103	MainTask1_103	[主]陰謀暴露	這樣下去不是辦法，飛龍堡乃當今江湖禦下三盟之一，若是持續這般派人前來，只怕是沒完沒了，看來只能是我來引開他們，讓楊兄先行前往藏劍山莊。	得和[FFFE0D]楊影楓[-]商量一下	得和[FFFE0D]楊影楓[-]商量一下	[url=clientnpcbyidx:test, 55]	[url=clientnpcbyidx:test, 55]	55	55	102	104	100						1	1	Exp|16000;Item|1062|1			1	1												
104	MainTask1_104	[主]再探究竟	藏劍山莊的劍法果然有些門道，唉，卓、卓非凡的劍術已經是極為不凡了，只可惜心術不正，恐怕正因如此，劍法才始終未能登峰造極。唉，多想無益，還是去周圍看看是否還有別的埋伏吧！	前往[FFFE0D]藏劍山莊[-]	前往[FFFE0D]藏劍山莊[-]	[url=pos:test,402,12840,3160]	[url=pos:test,402,12840,3160]	56	56	103	105				1					Exp|12000			1	1	[url=dialog:test, 101]				483							
105	MainTask1_105	[主]新仇舊怨	想不到誤打誤撞竟然遇見了紫軒姑娘與卓非凡，看來兩人之間也是多有不合，只是不知是大難臨頭導致的，還是本來紫軒就不喜卓非凡的行徑，既然來了，就前去一見吧。	擊敗[FFFE0D]藏劍莊丁[-]	擊敗[FFFE0D]藏劍莊丁[-]	[url=npcanddosomething:test, 1076, 483, autofight, 1]				104	106				1					Exp|40000	1076|3	1	1	1	[url=dialog:test, 102]											
106	MainTask1_106	[主]前方會合	方才聽見了卓非凡的聲音，看來他應該就在附近！	[FFFE0D]去看看[-]是否卓非凡和紫軒	[FFFE0D]去看看[-]是否卓非凡和紫軒	[url=taskitem:test, $T]	[url=taskitem:test, $T]	59|60		105	107				1	1	105			Exp|16000			1	1	[url=dialog:test, 103]											
107	MainTask1_107	[主]準備就緒	楊兄這數年來做了不少驚天動地的大事，悲魔山莊如今已是禦下三盟之一，與飛龍堡、藏劍山莊齊名，如今他看起來意氣風發，正是少年得意，但願千萬別誤入歧途。問問他準備好沒有！	問問[FFFE0D]楊影楓[-]準備好了沒有	問問[FFFE0D]楊影楓[-]準備好了沒有	[url=clientnpcbyidx:test, 57]	[url=clientnpcbyidx:test, 57]	57|59|60	57|59|60	106	108	104								Exp|16000			1	1												
108	MainTask1_108	[主]劍氣凌雲	藏劍山莊劍氣峰……我曾經與卓非凡在此飲酒切磋，暢談武林大事，想必楊兄與他惺惺相惜，也是在此處，卻不料，他竟在此處將楊兄打落山崖。天理迴圈，報應不爽。	登上[FFFE0D]劍氣峰[-]擊敗卓非凡	登上[FFFE0D]劍氣峰[-]擊敗卓非凡	[url=goanddosomething:test, 402, 3000, 2800, gotofuben, 2, 6, 1]		58	58	107	109			2|6|1	1			1		Exp|80000			1	1												
109	MainTask1_109	[主]名揚天下	卓非凡如今身敗名裂，再難有所作為，藏劍山莊也已經七零八落，唉，可惜孟大俠窮盡半生精力的藏劍山莊，恐怕此後將一落千丈、一蹶不振。不管如何，先恭喜楊兄吧。	恭喜[FFFE0D]楊影楓[-]名揚天下	恭喜[FFFE0D]楊影楓[-]名揚天下	[url=clientnpcbyidx:test, 57]	[url=clientnpcbyidx:test, 57]	57	57	108	110	106						1	1	Exp|20000;Item|1112|1;ComposeValue|1|8			1	1												
110	MainTask1_110	[主]意欲何為	哼，自下了藏劍山莊以來，就有人在跟蹤我們，不過來人似乎並沒有惡意，究竟是哪一方的勢力？現在就去看看她到底意欲何為！	質問[FFFE0D]紫軒[-]為何一路跟蹤	質問[FFFE0D]紫軒[-]為何一路跟蹤	[url=taskitem:test, $T]	[url=taskitem:test, $T]	310	310	109	111				1	1	109			Exp|20000			1	1	[url=dialog:test, 107]											
111	MainTask1_111	[主]藕斷絲連	原來是紫軒姑娘……她一路相隨，只是為了將這封信件交給楊兄，唉，她雖有過錯，畢竟也是個可憐人，我就幫她一把，至於結果如何，就讓楊兄自己做決定吧。	前往[FFFE0D]洞庭湖[-]尋找[FFFE0D]楊影楓[-]	前往[FFFE0D]洞庭湖[-]尋找[FFFE0D]楊影楓[-]	[url=clientnpcbyidx:test, 73]	[url=clientnpcbyidx:test, 73]	73|184	73|184	110	112	108								Exp|12000			1	1												
112	MainTask1_112	[主]兩人會面	先去洞庭湖找到紫軒姑娘吧，唉，說來其實紫軒姑娘也挺淒慘的，畢竟她也是受人所迫，不知道楊兄會不會原諒她。	去見見[FFFE0D]紫軒[-]姑娘吧	去見見[FFFE0D]紫軒[-]姑娘吧	[url=clientnpcbyidx:test, 61]	[url=clientnpcbyidx:test, 61]	54|61|70	54|61|70	111	113	111						1	1	Exp|12000;Item|1613|1			1	1	[url=dialog:test, 6011]											
113	MainTask1_113	[主]分道揚鑣	楊兄都離開了，我也離開這兒吧，看來他們兩人之間此後也不會再有什麼交集了……	事情已了，先離開吧	事情已了，先離開吧	[url=taskitem:test, $T]	[url=taskitem:test, $T]	62|229	62|229	112	114				1	1	113			Exp|18000			1													
114	MainTask1_114	[主]暗中窺探	不行！方才紫軒姑娘整個失魂落魄的樣子，若是無人看著，恐怕會出什麼事！我得回去看看！	還是得[FFFE0D]回去[-]看看紫軒姑娘	還是得[FFFE0D]回去[-]看看紫軒姑娘	[url=taskitem:test, $T]	[url=taskitem:test, $T]	21	21	113	115				1	1	114			Exp|18000			1	1	[url=dialog:test, 113]											
115	MainTask1_115	[主]神秘女子	咦？有人！看身形是位姑娘，不知道是誰，想不到紫軒姑娘還認識武功這麼高明的姑娘！這樣一來我也安心了！	看看[FFFE0D]來的人[-]意欲何為	看看[FFFE0D]來的人[-]意欲何為	[url=taskitem:test, $T]	[url=taskitem:test, $T]	22	22	114	116				1	1	115			Exp|18000			1	1	[url=dialog:test, 114]											
116	MainTask1_116	[主]再度會合	方才那位姑娘好像有點眼熟，不過離的太遠看的並不是很清楚，罷了，先回去找楊兄吧！	該回去找[FFFE0D]楊影楓[-]了	該回去找[FFFE0D]楊影楓[-]了	[url=clientnpcbyidx:test, 73]	[url=clientnpcbyidx:test, 73]	73|83	73|83	115	117	115								Exp|18000			1	1												
117	MainTask1_117	[主]武林盟主	武林盟主孟知秋，不知道會是什麼樣的人！想必武功十分高強，若是有機會討教一番就好了！	前往落葉谷尋找[FFFE0D]孟知秋[-]	前往落葉谷尋找[FFFE0D]孟知秋[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	70|156		116	118				1	1	117			Exp|18000			1	1	[url=dialog:test, 116]											
118	MainTask1_118	[主]拆除獸夾	真是可惡！到底是誰在這裡放下捕獸夾，若是有人在樹下乘涼，豈非很容易受傷？看我來將它拆掉！	拆除用[FFFE0D]帽子蓋住[-]的捕獸夾	拆除用[FFFE0D]帽子蓋住[-]的捕獸夾	[url=taskitem:test, $T]	[url=taskitem:test, $T]	70|156	156	117	119				1	1	118			Exp|18000			1	1	[url=dialog:test, 117]											
119	MainTask1_119	[主]神秘少女	這位大小姐還真是蠻不講理……分明是自己所做之事不對，竟然還敢動手！說不得要教訓教訓她了！	和[FFFE0D]楊影楓[-]應付這位大小姐	和[FFFE0D]楊影楓[-]應付這位大小姐	[url=goanddosomething:test, 403, 8200, 5180, gotofuben, 3, 1, 1]		70|81|82		118	120			3|1|1	1			1		Exp|90000			1	1												
120	MainTask1_120	[主]一問究竟	咳咳，方才下手好像稍重了一些，不知道有沒有傷著她，她畢竟是個姑娘……但願沒什麼大礙才好……	看看[FFFE0D]這位姑娘[-]有沒有受傷	看看[FFFE0D]這位姑娘[-]有沒有受傷	[url=clientnpcbyidx:test, 311]	[url=clientnpcbyidx:test, 311]	70|311	311	119	121	119						1	1	Exp|18000;Item|1365|1			1	1												
121	MainTask1_121	[主]歸家之路	這姑娘非凡蠻不講理，而且還牙尖嘴利！不過既然不願，就順帶送她回家好了，唉，只願落葉谷莫要太早閉谷。	帶[FFFE0D]神秘少女[-]回家	帶[FFFE0D]神秘少女[-]回家	[url=taskitem:test, $T]	[url=taskitem:test, $T]	70|312		120	122				1	1	121			Exp|24000			1	1	[url=dialog:test, 120]											
122	MainTask1_122	[主]四處尋家	這姑娘真是讓人頭疼，連自己回家的路都能弄錯，也不知道她的家人是如何放心讓她一個人跑出來的！	帶[FFFE0D]神秘少女[-]找回家的路	帶[FFFE0D]神秘少女[-]找回家的路	[url=taskitem:test, $T]	[url=taskitem:test, $T]	70|88|312	78|312	121	123				1	1	122			Exp|18000			1	1	[url=dialog:test, 121]											
123	MainTask1_123	[主]登門拜訪	真是太可恨了！這個姑娘分明就是在浪費我們的時間！想必是有恃無恐，既然這樣，就別管她了，趕緊去見見孟知秋才是正事。	前去拜見[FFFE0D]孟知秋[-]	前去拜見[FFFE0D]孟知秋[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	70|88		122	124				1	1	123			Exp|24000			1	1	[url=dialog:test, 122]											
124	MainTask1_124	[主]陰差陽錯	呃，這可真是無巧不成書……那姑娘竟然是孟知秋的千金……難怪這麼霸道，若是她失蹤了那可不是鬧著玩的，得趕緊把她找回來！	回去尋找[FFFE0D]薔薇[-]	回去尋找[FFFE0D]薔薇[-]	[url=clientnpcbyidx:test, 77]	[url=clientnpcbyidx:test, 77]	70|77|88	70|77|88	123	125	123								Exp|18000			1	1												
125	MainTask1_125	[主]靜候片刻	這池水雖然清澈見底，但遠遠的就能感覺到一股沁人的寒氣，楊兄雖然有內功護體，恐怕也無法長時間待在裡面，希望他能儘快找到薔薇姑娘的髮釵吧！	[FFFE0D]在一旁[-]等候楊影楓回來	[FFFE0D]在一旁[-]等候楊影楓回來	[url=taskitem:test, $T]	[url=taskitem:test, $T]	77|230	77|230	124	126				1	1	125			Exp|30000			1	1	[url=dialog:test, 124]											
126	MainTask1_126	[主]再度登門	這位任性的大小姐總算是答應跟我們回去了，看來她似乎對楊兄有了好感，楊兄還真是四處招蜂惹蝶啊……	帶[FFFE0D]薔薇[-]回去見孟知秋	帶[FFFE0D]薔薇[-]回去見孟知秋	[url=clientnpcbyidx:test, 103]	[url=clientnpcbyidx:test, 103]	70|78|103	70|78|103	125	127	125								Exp|24000			1	1												
127	MainTask1_127	[主]了結恩怨	看來這一戰還是在所難免，兩家人十多年以來的恩怨，但願不要和十多年前的結局一樣才好……	觀看[FFFE0D]楊影楓與孟知秋[-]比武	觀看[FFFE0D]楊影楓與孟知秋[-]比武	[url=gotofuben:test, 3, 2, 1]		104	104	126	128			3|2|1	1			1		Exp|90000			1													
128	MainTask1_128	[主]突然消失	孟大俠曾經身為武林盟主，武功之高，果然名不虛傳，楊兄竟然這麼輕易就被擊敗了！看來我也還需要更努力練習武功！	向[FFFE0D]孟知秋[-]告辭	向[FFFE0D]孟知秋[-]告辭	[url=clientnpcbyidx:test, 103]	[url=clientnpcbyidx:test, 103]	70|89|103	103	127	129	127						1	1	Exp|18000;Item|1073|1			1	1												
129	MainTask1_129	[主]先行離開	終於要回悲魔山莊了，不知道楊兄這數月來創立的勢力究竟會是什麼樣的呢！	[FFFE0D]回悲魔山莊[-]見見納蘭真	[FFFE0D]回悲魔山莊[-]見見納蘭真	[url=taskitem:test, $T]	[url=taskitem:test, $T]	70|89|104	104	128	130				1	1	127			Exp|24000			1	1	[url=dialog:test, 126]											
130	MainTask1_130	[主]四處尋找	唉，毫無頭緒，也不知道該從哪裡找起，到底是誰掠走了納蘭姑娘呢？目的是什麼呢？莫非是紫軒姑娘？	到[FFFE0D]附近[-]去尋找線索	到[FFFE0D]附近[-]去尋找線索	[url=taskitem:test, $T]	[url=taskitem:test, $T]	70|89|90	89	129	131				1	1	129			Exp|24000			1	1	[url=dialog:test, 128]											
131	MainTask1_131	[主]登門拜訪	沒想到掠走納蘭姑娘的竟然是飛龍堡的人……看來月眉兒姑娘想用納蘭姑娘當人質，逼迫楊兄就範，若真是如此，不知道楊兄會如何抉擇……	[FFFE0D]前往飛龍堡[-]	[FFFE0D]前往飛龍堡[-]質問月眉兒	[url=pos:test,403,7410,14820]	[url=pos:test,403,7410,14820]	70|90	90	130	132				1					Exp|12000			1	1	[url=dialog:test, 129]				494							
132	MainTask1_132	[主]先發制人	飛龍堡果然守衛森嚴，這些飛龍堡弟子均訓練有素，恐怕對付起來不太容易！	[FFFE0D]闖入飛龍堡[-]質問月眉兒	[FFFE0D]闖入飛龍堡[-]質問月眉兒	[url=taskitem:test, $T]	[url=taskitem:test, $T]	70|91	91	131	133				1	1	130			Exp|12000			1	1												
133	MainTask1_133	[主]一展身手	哼！不過就憑這些人，還攔不住我！讓我看看名動天下的飛龍堡，到底有多少斤兩！	擊退[FFFE0D]飛龍堡弟子[-]	擊退[FFFE0D]飛龍堡弟子[-]	[url=npcanddosomething:test, 1245, 494, autofight, 1]		70		132	134				1					Exp|60000	1245|6	1	1	1												
134	MainTask1_134	[主]一無所獲	飛龍堡果然名不虛傳，堡中弟子的武功根基扎實，接下來就讓我們看看，這名動天下的飛龍堡的大總管到底有什麼本事吧！	前去找[FFFE0D]盧肇顥[-]理論	前去找[FFFE0D]盧肇顥[-]理論	[url=taskitem:test, $T]	[url=taskitem:test, $T]	70|120		133	135				1	1	132			Exp|24000			1	1	[url=dialog:test, 131]											
135	MainTask1_135	[主]另尋線索	這位飛龍堡的管家看來沒有說謊，難道真的不是飛龍堡的人抓走的？難道是紫軒姑娘騙我們的？	準備離開[FFFE0D]飛龍堡[-]	準備離開[FFFE0D]飛龍堡[-]	[url=pos:test,494,6580,9180]	[url=pos:test,494,6580,9180]	70|92|120	92	134	136				1					Exp|18000			1	1					403							
136	MainTask1_136	[主]了結恩怨	看來這一戰還是在所難免，兩家人十多年以來的恩怨，但願不要和十多年前的結局一樣才好……	先啟程返回[FFFE0D]悲魔山莊[-]	先啟程返回[FFFE0D]悲魔山莊[-]	[url=goanddosomething:test, 403, 15500, 11140, gotofuben, 3, 3, 1]		70|94|120	94|120	135	137			3|3|1	1			1		Exp|90000			1	1												
