nTaskId	szTaskIndex	szTaskTitle	szDetailDesc	szTaskDesc	szFinishDesc	szTrackInfo	szFinishTrackInfo	Require_FinishTask	nAutoNextTaskId	nFinishDialogId	nFinishTaskNpcId	Target_PersonalFuben	Target_Achievement	Target_KillNpc	bNotAutoNext	bKillNpcToAllPlayer	bAutoFinish	Target_ExtPoint	szAwardInfo	nTaskType	bShowFinish	nNeedConfirmFinish	Target_ExtInfo	szOnFinishTrack	nAcceptTaskNpcId	Target_CollectItem	Target_MinLevel	Require_MinLevel	Require_MaxLevel	bCanRepeat	nAcceptDialogId	IsFinishGuide	Target_ExpPoint	Target_EnterMap
3074	PedagogicalTask1_74	[支]五行相剋	江湖中有五行一說，天下各大門派武功盡皆源於此，五行間存[FFFE0D] 相剋 [-]一說，[FFFE0D] 金剋木[-]、[FFFE0D]木剋土[-]、[FFFE0D]水剋火[-]、[FFFE0D]火剋金[-]、[FFFE0D]土剋水[-]，門派間相互牽制，若克制對方則傷害增加，且受到的傷害減少。	回去找[FFFE0D]納蘭姑娘[-]	回去找[FFFE0D]納蘭姑娘[-]	[url=npc:testtt,$F,482]	[url=npc:testtt,$F,482]	3073	3075	3074	1101				1					2														
3075	PedagogicalTask1_75	[支]五行相剋	江湖中有五行一說，天下各大門派武功盡皆源於此，五行間存[FFFE0D] 相剋 [-]一說，[FFFE0D] 金剋木[-]、[FFFE0D]木剋土[-]、[FFFE0D]水剋火[-]、[FFFE0D]火剋金[-]、[FFFE0D]土剋水[-]，門派間相互牽制，若克制對方則傷害增加，且受到的傷害減少。	回答關於[FFFE0D]五行[-]的問題	回答關於[FFFE0D]五行[-]的問題	[url=openwnd:test, ActivityQuestion, "Task"]	[url=npc:testtt,$F,482]	3074		3075	1101								Exp|40000	2	1	1	Task_DaTi	[url=openwnd:test, FiveElements]										
3080	PedagogicalTask1_80	[支]五行相剋	江湖中有五行一說，天下各大門派武功盡皆源於此，五行間存[FFFE0D] 相剋 [-]一說，[FFFE0D] 金剋木[-]、[FFFE0D]木剋土[-]、[FFFE0D]水剋火[-]、[FFFE0D]火剋金[-]、[FFFE0D]土剋水[-]，門派間相互牽制，若克制對方則傷害增加，且受到的傷害減少。	找[FFFE0D]納蘭姑娘[-]瞭解五行	找[FFFE0D]納蘭姑娘[-]瞭解五行	[url=npc:testtt,$F,482]	[url=npc:testtt,$F,482]		3081	3080	1101				1					2														
3081	PedagogicalTask1_81	[支]五行相剋	江湖中有五行一說，天下各大門派武功盡皆源於此，五行間存[FFFE0D] 相剋 [-]一說，[FFFE0D] 金剋木[-]、[FFFE0D]木剋土[-]、[FFFE0D]水剋火[-]、[FFFE0D]火剋金[-]、[FFFE0D]土剋水[-]，門派間相互牽制，若克制對方則傷害增加，且受到的傷害減少。	擊敗[FFFE0D]天機制式傀儡·木[-]	擊敗[FFFE0D]天機制式傀儡·木[-]	[url=npcanddosomething:test, 1375, 482, autofight, 1]		3080	3082					1375|3	1	1	1			2				[url=dialog:test, 3081]										
3082	PedagogicalTask1_82	[支]五行相剋	江湖中有五行一說，天下各大門派武功盡皆源於此，五行間存[FFFE0D] 相剋 [-]一說，[FFFE0D] 金剋木[-]、[FFFE0D]木剋土[-]、[FFFE0D]水剋火[-]、[FFFE0D]火剋金[-]、[FFFE0D]土剋水[-]，門派間相互牽制，若克制對方則傷害增加，且受到的傷害減少。	擊敗[FFFE0D]天機制式傀儡·金[-]	擊敗[FFFE0D]天機制式傀儡·金[-]	[url=npcanddosomething:test, 1374, 482, autofight, 1]		3081	3083					1374|3	1	1	1			2				[url=dialog:test, 3082]										
3083	PedagogicalTask1_83	[支]五行相剋	江湖中有五行一說，天下各大門派武功盡皆源於此，五行間存[FFFE0D] 相剋 [-]一說，[FFFE0D] 金剋木[-]、[FFFE0D]木剋土[-]、[FFFE0D]水剋火[-]、[FFFE0D]火剋金[-]、[FFFE0D]土剋水[-]，門派間相互牽制，若克制對方則傷害增加，且受到的傷害減少。	擊敗[FFFE0D]天機制式傀儡·水[-]	擊敗[FFFE0D]天機制式傀儡·水[-]	[url=npcanddosomething:test, 1376, 482, autofight, 1]		3082	3084					1376|3	1	1	1			2				[url=dialog:test, 3083]										
3084	PedagogicalTask1_84	[支]五行相剋	江湖中有五行一說，天下各大門派武功盡皆源於此，五行間存[FFFE0D] 相剋 [-]一說，[FFFE0D] 金剋木[-]、[FFFE0D]木剋土[-]、[FFFE0D]水剋火[-]、[FFFE0D]火剋金[-]、[FFFE0D]土剋水[-]，門派間相互牽制，若克制對方則傷害增加，且受到的傷害減少。	回去找[FFFE0D]納蘭姑娘[-]	回去找[FFFE0D]納蘭姑娘[-]	[url=npc:testtt,$F,482]	[url=npc:testtt,$F,482]	3083	3085	3084	1101				1					2														
3085	PedagogicalTask1_85	[支]五行相剋	江湖中有五行一說，天下各大門派武功盡皆源於此，五行間存[FFFE0D] 相剋 [-]一說，[FFFE0D] 金剋木[-]、[FFFE0D]木剋土[-]、[FFFE0D]水剋火[-]、[FFFE0D]火剋金[-]、[FFFE0D]土剋水[-]，門派間相互牽制，若克制對方則傷害增加，且受到的傷害減少。	回答關於[FFFE0D]五行[-]的問題	回答關於[FFFE0D]五行[-]的問題	[url=openwnd:test, ActivityQuestion, "Task"]	[url=npc:testtt,$F,482]	3084		3085	1101								Exp|40000	2	1	1	Task_DaTi	[url=openwnd:test, FiveElements]										
3090	PedagogicalTask1_90	[支]五行相剋	江湖中有五行一說，天下各大門派武功盡皆源於此，五行間存[FFFE0D] 相剋 [-]一說，[FFFE0D] 金剋木[-]、[FFFE0D]木剋土[-]、[FFFE0D]水剋火[-]、[FFFE0D]火剋金[-]、[FFFE0D]土剋水[-]，門派間相互牽制，若克制對方則傷害增加，且受到的傷害減少。	找[FFFE0D]納蘭姑娘[-]瞭解五行	找[FFFE0D]納蘭姑娘[-]瞭解五行	[url=npc:testtt,$F,482]	[url=npc:testtt,$F,482]		3091	3090	1101				1					2														
3091	PedagogicalTask1_91	[支]五行相剋	江湖中有五行一說，天下各大門派武功盡皆源於此，五行間存[FFFE0D] 相剋 [-]一說，[FFFE0D] 金剋木[-]、[FFFE0D]木剋土[-]、[FFFE0D]水剋火[-]、[FFFE0D]火剋金[-]、[FFFE0D]土剋水[-]，門派間相互牽制，若克制對方則傷害增加，且受到的傷害減少。	擊敗[FFFE0D]天機制式傀儡·火[-]	擊敗[FFFE0D]天機制式傀儡·火[-]	[url=npcanddosomething:test, 1377, 482, autofight, 1]		3090	3092					1377|3	1	1	1			2				[url=dialog:test, 3091]										
3092	PedagogicalTask1_92	[支]五行相剋	江湖中有五行一說，天下各大門派武功盡皆源於此，五行間存[FFFE0D] 相剋 [-]一說，[FFFE0D] 金剋木[-]、[FFFE0D]木剋土[-]、[FFFE0D]水剋火[-]、[FFFE0D]火剋金[-]、[FFFE0D]土剋水[-]，門派間相互牽制，若克制對方則傷害增加，且受到的傷害減少。	擊敗[FFFE0D]天機制式傀儡·水[-]	擊敗[FFFE0D]天機制式傀儡·水[-]	[url=npcanddosomething:test, 1376, 482, autofight, 1]		3091	3093					1376|3	1	1	1			2				[url=dialog:test, 3092]										
3093	PedagogicalTask1_93	[支]五行相剋	江湖中有五行一說，天下各大門派武功盡皆源於此，五行間存[FFFE0D] 相剋 [-]一說，[FFFE0D] 金剋木[-]、[FFFE0D]木剋土[-]、[FFFE0D]水剋火[-]、[FFFE0D]火剋金[-]、[FFFE0D]土剋水[-]，門派間相互牽制，若克制對方則傷害增加，且受到的傷害減少。	擊敗[FFFE0D]天機制式傀儡·木[-]	擊敗[FFFE0D]天機制式傀儡·木[-]	[url=npcanddosomething:test, 1375, 482, autofight, 1]		3092	3094					1375|3	1	1	1			2				[url=dialog:test, 3093]										
3094	PedagogicalTask1_94	[支]五行相剋	江湖中有五行一說，天下各大門派武功盡皆源於此，五行間存[FFFE0D] 相剋 [-]一說，[FFFE0D] 金剋木[-]、[FFFE0D]木剋土[-]、[FFFE0D]水剋火[-]、[FFFE0D]火剋金[-]、[FFFE0D]土剋水[-]，門派間相互牽制，若克制對方則傷害增加，且受到的傷害減少。	回去找[FFFE0D]納蘭姑娘[-]	回去找[FFFE0D]納蘭姑娘[-]	[url=npc:testtt,$F,482]	[url=npc:testtt,$F,482]	3093	3095	3094	1101				1					2														
3095	PedagogicalTask1_95	[支]五行相剋	江湖中有五行一說，天下各大門派武功盡皆源於此，五行間存[FFFE0D] 相剋 [-]一說，[FFFE0D] 金剋木[-]、[FFFE0D]木剋土[-]、[FFFE0D]水剋火[-]、[FFFE0D]火剋金[-]、[FFFE0D]土剋水[-]，門派間相互牽制，若克制對方則傷害增加，且受到的傷害減少。	回答關於[FFFE0D]五行[-]的問題	回答關於[FFFE0D]五行[-]的問題	[url=openwnd:test, ActivityQuestion, "Task"]	[url=npc:testtt,$F,482]	3094		3095	1101								Exp|40000	2	1	1	Task_DaTi	[url=openwnd:test, FiveElements]										
3100	HomeworldTask1_1	[支]溫馨小家	閣下已逐鹿中原多時，奪城占鎮，自是威風八面，功成名就；在幫派屬地共襄盛舉，烤火飲酒，自然也是人生快事，只不過夜深人靜時，俠士是否想一人擁抱一片星空？如今武林批地建造家園，只要自掏腰包建造，諸位，還等什麼，快去開拓一方只屬於自己的小天地吧！	找[FFFE0D]真兒[-]瞭解家園	找[FFFE0D]真兒[-]瞭解家園	[url=npc:testtt,$F,10]	[url=npc:testtt,$F,10]		3101	3100	2279				1		1			2														
3101	HomeworldTask2_2	[支]溫馨小家	恭喜俠士購買了地契以及提供了建造房子所需的花費，現在去找真兒姑娘瞭解房屋的建造情況吧！	找[FFFE0D]真兒[-]建造家園	找[FFFE0D]真兒[-]建造家園	[url=npc:testtt,2279,10]	[url=npc:testtt,2279,10]	3100	3102						1		1	1		2				[url=dialog:test, 3101]										
3102	HomeworldTask2_3	[支]溫馨小家	尊敬的俠士，房屋正在按部就班的建設中，只是如今房屋急缺一些優質木材，近日我已托人運來一批木材，就在點蒼山，只是路途遙遠，風霜漫天，趕路有些困難，少俠腳程較快，不知能否勞煩俠士去拿回木材，也好加快房屋的建造速度。	前去搬運[FFFE0D]優質木材[-]	前去搬運[FFFE0D]優質木材[-]	[url=npc:testtt,2214,405]	[url=npc:testtt,2214,405]	3101	3103						1		1	1		2														
3103	HomeworldTask2_4	[支]溫馨小家	尊敬的俠士，房屋正在按部就班的建設中，只是如今房屋急缺一些優質木材，近日我已托人運來一批木材，就在點蒼山，只是路途遙遠，風霜漫天，趕路有些困難，少俠腳程較快，不知能否勞煩俠士去拿回木材，也好加快房屋的建造速度。	將木材帶給[FFFE0D]真兒[-]	將木材帶給[FFFE0D]真兒[-]	[url=npc:testtt,$F,10]	[url=npc:testtt,$F,10]	3102	3104	3103	2279				1		1			2														
3104	HomeworldTask2_5	[支]溫馨小家	尊敬的俠士，房屋已經修葺完畢了哦，目前正在進行庭院的建設，還請俠士去採集一些自己喜愛的花草，以便於裝飾自己的庭院。	去移植一些[FFFE0D]綠草[-]	去移植一些[FFFE0D]綠草[-]	[url=npc:testtt,2213,403]	[url=npc:testtt,2213,403]	3103	3105						1		1	1		2														
3105	HomeworldTask2_6	[支]溫馨小家	尊敬的俠士，房屋已經修葺完畢了哦，目前正在進行庭院的建設，還請俠士去採集一些自己喜愛的花草，以便於裝飾自己的庭院。	將青葉草帶給[FFFE0D]真兒[-]	將青葉草帶給[FFFE0D]真兒[-]	[url=npc:testtt,$F,10]	[url=npc:testtt,$F,10]	3104	3106	3105	2279				1				Item|4058|1	2	1	1												
3106	HomeworldTask2_7	[支]溫馨小家	恭喜俠士獲得了自己的家園，不過現在看上去它還有一些空蕩蕩的，接下來就去學習如何擺放傢俱吧！	前往家園擺放[FFFE0D]傢俱[-]	前往家園擺放[FFFE0D]傢俱[-]	[url=openwnd:test, MiniMap]	[url=openwnd:test, MiniMap]	3105	3107						1		1			2			UseFurniture	[url=dialog:test, 3106]										
3107	HomeworldTask2_8	[支]溫馨小家	俠士的家園現在已經越來越有家的感覺了，我這兒還有一些較為基礎的傢俱製造材料，快來我這兒領取吧！	接過[FFFE0D]真兒[-]手中的材料	接過[FFFE0D]真兒[-]手中的材料	[url=npc:testtt,$F,10]	[url=npc:testtt,$F,10]	3106		3107	2279				1				Item|4435|1;Item|4443|1	2	1	1												
3108	HomeworldTask3_1	[支]商會少當家	幸會幸會，我是「商會少當家」楊大俠。商會這些年來能有如此發展，一來是萬叔經營得當，二來離不開各路俠士的相助支持。倘若不嫌棄，請俠士到寒舍「新穎小築」做客，暢飲閒談……	拜訪[FFFE0D]楊大俠[-]	拜訪[FFFE0D]楊大俠[-]	[url=npc:testtt,$F,10]	[url=npc:testtt,$F,10]		3109	3108	2326				1		1			2														
3109	HomeworldTask3_2	[支]商會少當家	小林身為我們商會少當家，常年在外奔波行商。商會能有現在這般規模，其功不可沒。（大笑）後生可畏，後生可畏啊……	找[FFFE0D]楊大俠[-]前往「新穎小築」	向[FFFE0D]萬金財[-]彙報情況	[url=npc:testtt,2326,10]	[url=npc:testtt,190,10]	3108			190				1				Item|4187|1	2	1	1												4006
3200	JingMai_1	[支]經脈絕學	近日來武功進境甚是緩慢，興許是練武之法有所偏差，不知有何良法能夠改進，老闆娘見多識廣，興許知道能夠指點我武學的人！	找[FFFE0D]$NF[-]詢問	找[FFFE0D]$NF[-]詢問	[url=npc:testtt,$F,10]	[url=npc:testtt,$F,10]		3201	3200	99				1					2														
3201	JingMai_2	[支]經脈絕學	老闆娘這話倒是提點我了！玄天道人的來歷神秘莫測，且一身武藝無人能比，何不向他請教一番，興許能夠有前所未有的領悟！	找[FFFE0D]$NF[-]詢問	找[FFFE0D]$NF[-]詢問	[url=npc:testtt,$F,10]	[url=npc:testtt,$F,10]	3200	3202	3201	626				1					2														
3202	JingMai_3	[支]經脈絕學	不知此處是什麼地方，看起來倒是頗為的神秘，到處看看好了！	到[FFFE0D]響水洞[-]看看	到[FFFE0D]響水洞[-]看看	[url=pos:test,406,13500,6650]	[url=pos:test,406,13500,6650]	3201	3203			9|1|1			1		1			2														
3203	JingMai_4	[支]經脈絕學	這本殘卷高深莫測，還是先帶回去給玄天道長看看，其中究竟有何玄奧之處！	找[FFFE0D]$NF[-]詢問	找[FFFE0D]$NF[-]詢問	[url=npc:testtt,$F,10]	[url=npc:testtt,$F,10]	3202	3204	3203	626				1					2														
3204	JingMai_5	[支]經脈絕學	獨孤大俠武功卓絕，且根基扎實，看來玄天道長是希望我先將根基打扎實！	找[FFFE0D]$NF[-]詢問	找[FFFE0D]$NF[-]詢問	[url=npc:testtt,$F,10]	[url=npc:testtt,$F,10]	3203	3205	3204	88				1					2														
3205	JingMai_6	[支]經脈絕學	回到玄天道人修煉的場所，擊敗心魔，就能夠開啟一番新的修為！	擊敗自己的[FFFE0D]心魔[-]	擊敗自己的[FFFE0D]心魔[-]	[url=pos:test,406,13500,6650]	[url=gotofuben:test, 9, 2, 1]	3204	3206			9|2|1			1		1			2														
3206	JingMai_7	[支]經脈絕學	終於成功通過了玄天道長的考驗，江湖失傳已久的經脈修行之法，我一定要將它修習成功！	找[FFFE0D]$NF[-]詢問	找[FFFE0D]$NF[-]詢問	[url=npc:testtt,$F,10]	[url=npc:testtt,$F,10]	3205		3206	626				1				ZhenQi|1000;Coin|3000	2	1	1												
